2025-11-08 21:42:07.518 | SUCCESS  | core.face_detection:_load_model:54 - Face detection model loaded successfully
2025-11-08 21:42:07.518 | ERROR    | core.camera_manager:load_config:79 - Error loading camera config: [Errno 2] No such file or directory: 'config/camera_config.yaml'
2025-11-08 21:42:07.518 | CRITICAL | __main__:main:184 - Application failed to start: [Errno 2] No such file or directory: 'config/camera_config.yaml'
2025-11-08 21:47:23.334 | SUCCESS  | core.face_detection:_load_model:54 - Face detection model loaded successfully
2025-11-08 21:47:23.334 | ERROR    | core.camera_manager:load_config:79 - Error loading camera config: [Errno 2] No such file or directory: 'config/camera_config.yaml'
2025-11-08 21:47:23.335 | CRITICAL | __main__:main:184 - Application failed to start: [Errno 2] No such file or directory: 'config/camera_config.yaml'
2025-11-08 21:51:54.395 | SUCCESS  | core.face_detection:_load_model:54 - Face detection model loaded successfully
2025-11-08 21:51:54.404 | ERROR    | core.camera_manager:load_config:79 - Error loading camera config: 'gbk' codec can't decode byte 0xac in position 69: illegal multibyte sequence
2025-11-08 21:51:54.405 | CRITICAL | __main__:main:184 - Application failed to start: 'gbk' codec can't decode byte 0xac in position 69: illegal multibyte sequence
2025-11-08 21:55:20.542 | SUCCESS  | core.face_detection:_load_model:54 - Face detection model loaded successfully
2025-11-08 21:55:20.542 | ERROR    | core.camera_manager:load_config:79 - Error loading camera config: 'gbk' codec can't decode byte 0xac in position 69: illegal multibyte sequence
2025-11-08 21:55:20.542 | CRITICAL | __main__:main:184 - Application failed to start: 'gbk' codec can't decode byte 0xac in position 69: illegal multibyte sequence
2025-11-08 21:55:31.632 | SUCCESS  | core.face_detection:_load_model:54 - Face detection model loaded successfully
2025-11-08 21:55:31.633 | ERROR    | core.camera_manager:load_config:79 - Error loading camera config: 'gbk' codec can't decode byte 0xac in position 69: illegal multibyte sequence
2025-11-08 21:55:31.633 | CRITICAL | __main__:main:184 - Application failed to start: 'gbk' codec can't decode byte 0xac in position 69: illegal multibyte sequence
